Matricula,Idade,Gênero,Departamento,Cargo,Banda Salarial,Status,Motivo do Desligamento,Escolaridade,Estado Civil,Última Promoção (anos),Horas-extras (média),Tempo de Empresa,Engajamento,Satisfação,Desempenho,Apoio da Liderança,Percepção de Desenvolvimento
1595,20,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,3,1,3,3,3,3,2
230,32,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,9,2,2,2,3,2
505,24,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Solteiro,0,0,0,1,1,2,3,2
1804,27,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,1,1,1,2,3,2
1573,26,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,0,3,3,3,3,3
384,29,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,2,1,4,3,3,3,3,3
1797,44,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Pós-Graduação,Casado,0,1,5,1,1,3,3,1
989,33,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,8,3,3,3,3,3
651,21,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,1,1,9,3,3,2,3,2
84,20,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,3,5,1,2,2,3,2
364,53,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,0,1,3,3,2,3,2
38,49,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,3,9,3,3,3,3,3
1092,32,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,1,3,3,3,3,3
1154,43,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,5,2,2,3,3,2
735,58,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,1,6,3,3,2,3,3
1955,49,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Inativo,Voluntário,Ensino Superior,Casado,0,1,7,1,1,2,3,2
1774,29,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,1,0,4,3,3,2,3,2
1753,30,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,0,3,3,3,3,3
1657,35,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,5,3,3,2,3,3
1416,25,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,9,3,3,2,3,3
1031,18,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,1,0,3,3,3,2,3,3
262,34,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,2,1,1,3,3,1
383,58,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,1,0,2,1,1,3,3,1
369,34,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,0,7,3,2,3,3,2
1222,37,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,7,3,3,2,3,3
1648,46,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,0,1,1,2,3,3,2
1205,34,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,3,7,1,1,3,3,1
943,38,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,0,3,2,2,2,3,2
1294,44,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Pós-Graduação,Solteiro,0,3,3,2,2,2,3,2
1793,49,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,9,2,2,2,3,2
775,57,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Involuntário,Ensino Superior,Solteiro,0,0,9,1,1,1,3,1
1773,21,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,3,1,1,2,3,1
111,21,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,1,3,3,2,3,3
1233,34,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,0,4,1,1,3,3,1
216,40,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,1,0,1,2,2,2,3,2
444,30,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Pós-Graduação,Solteiro,0,3,6,3,3,3,3,3
1218,46,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Pós-Graduação,Solteiro,0,1,8,3,3,2,3,3
808,23,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Pós-Graduação,Solteiro,0,0,6,3,3,3,3,3
1414,53,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,0,3,3,3,3,3
1754,27,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,4,3,3,2,3,3
1520,34,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,3,5,3,3,2,3,3
857,30,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,1,1,1,2,3,3,2
688,35,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,9,1,1,3,3,1
1662,18,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,0,2,2,2,3,3,2
1705,49,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Involuntário,Ensino Superior,Solteiro,0,1,5,1,2,1,3,2
1163,24,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,1,7,3,3,2,3,3
158,58,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Pós-Graduação,Solteiro,2,0,10,1,1,2,3,1
1217,35,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Pós-Graduação,Solteiro,2,0,0,3,3,2,3,3
378,41,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,7,1,1,3,3,1
64,32,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,2,0,2,3,3,3,3,3
90,59,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,4,2,2,3,3,2
1922,32,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,1,2,3,3,2,3,3
1127,18,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,1,5,1,1,3,3,1
154,39,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,8,3,3,2,3,3
1530,55,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,7,1,1,2,3,1
1832,24,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Médio,Solteiro,0,1,3,3,3,3,3,2
605,52,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,0,8,3,3,2,3,3
712,40,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,0,10,3,3,3,3,3
405,23,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Casado,0,0,7,1,3,2,3,2
1282,52,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,1,1,1,2,3,1
124,58,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,0,4,3,3,2,3,3
389,36,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,3,1,1,1,2,3,1
313,23,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,1,1,1,2,3,1
503,29,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,1,0,3,2,2,3,2
1850,52,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,0,0,2,1,1,2,3,1
1615,37,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Médio,Solteiro,0,0,3,1,2,3,3,2
1158,30,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,1,0,3,3,2,3,3
181,52,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,5,2,2,3,3,2
644,48,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,1,0,6,3,3,3,2,2
203,59,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Involuntário,Ensino Superior,Solteiro,2,0,4,1,2,1,2,2
1828,56,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Inativo,Voluntário,Pós-Graduação,Solteiro,0,0,0,1,1,2,3,1
1094,46,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,2,1,1,3,3,3,2,3
734,39,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Médio,Casado,0,1,5,1,2,2,2,2
1860,52,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,8,1,2,3,2,2
805,44,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,3,4,3,3,3,2,3
1861,49,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,0,0,5,3,3,2,2,3
1169,21,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,0,1,8,3,3,2,2,3
873,51,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,0,3,3,3,2,3
1695,34,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,10,3,3,2,2,3
434,30,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Pós-Graduação,Solteiro,2,1,9,1,1,2,3,1
1644,54,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,1,5,1,2,2,2,2
1064,30,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,0,5,3,3,2,2,3
788,58,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,2,3,3,2,2,3
725,57,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,1,3,1,1,2,3,1
420,43,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,0,3,1,1,2,3,1
1790,38,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,3,2,1,1,2,3,1
1161,57,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,3,7,1,1,3,3,1
1694,32,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,9,3,3,3,2,2
834,51,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,7,3,3,3,2,3
1164,52,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,10,2,2,2,2,2
260,25,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,2,3,3,3,2,3
736,26,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,0,6,3,3,2,2,3
1012,57,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,1,2,1,1,2,2,2
1671,26,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Médio,Solteiro,0,0,7,1,1,3,3,1
46,47,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Solteiro,0,1,8,1,2,2,2,2
1800,52,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,1,5,3,3,2,2,2
559,40,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,1,1,3,3,2,2,3
1433,43,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,1,4,3,3,2,2,3
963,24,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Médio,Solteiro,0,1,5,1,1,3,2,2
404,59,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,2,3,6,3,3,2,2,2
1224,58,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,10,3,3,3,2,3
550,34,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,0,1,2,3,3,2,2,2
552,35,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Casado,0,1,1,1,1,2,3,1
484,25,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Pós-Graduação,Casado,0,1,1,1,1,2,3,1
1241,49,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,1,3,3,3,3,2,3
161,25,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,3,3,3,2,2,3
747,55,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,3,2,2,2,2,2
1128,43,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,0,4,3,3,2,2,3
1701,18,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,3,0,2,2,2,2,2
123,26,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,4,2,2,2,2,2
838,18,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,2,3,3,3,2,2
986,51,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Médio,Solteiro,0,1,5,1,1,2,3,1
1907,22,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,0,3,3,3,2,2,3
273,45,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,2,0,1,3,3,3,2,3
1924,34,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Inativo,Voluntário,Ensino Superior,Casado,0,0,5,2,2,2,2,2
1039,22,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,3,2,2,2,2,2
1983,30,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,1,1,4,3,3,3,2,2
301,26,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,9,2,2,2,2,2
240,25,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,10,2,2,3,2,2
756,48,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,1,4,3,3,2,2,3
751,38,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,2,3,3,3,2,3
632,42,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,3,7,1,1,3,2,2
351,46,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,2,1,7,1,1,2,3,1
42,28,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,2,1,7,3,3,3,2,3
952,51,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,3,4,3,3,2,2,3
1835,58,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,3,9,1,1,2,3,1
1431,28,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,2,3,3,2,2,3
85,51,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,0,1,9,3,3,3,2,3
1605,23,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,1,9,3,3,2,2,2
13,35,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,0,6,3,3,3,2,3
1564,36,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,3,7,1,2,2,2,2
1837,19,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,0,5,3,3,3,2,2
231,24,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,1,3,3,3,2,2
1847,59,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,0,8,3,3,3,2,2
787,31,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,1,0,3,2,2,2,2,2
188,25,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,0,0,1,1,2,3,1
150,57,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,1,1,7,3,3,2,2,3
1545,58,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,1,4,3,3,3,2,3
1461,49,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,1,2,3,3,3,2,3
1107,25,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,8,1,3,2,2,2
1145,36,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,2,0,5,1,1,2,3,1
102,58,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,1,3,3,2,2,2
904,47,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,10,3,3,2,2,3
1244,47,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,3,4,3,3,2,2,3
813,54,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,9,1,2,3,2,2
970,19,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Pós-Graduação,Casado,0,1,5,2,2,3,2,2
1086,48,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,0,7,1,1,2,3,1
815,57,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,1,10,1,1,2,3,1
1236,49,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,1,2,1,1,2,3,1
1458,22,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,1,5,3,3,3,2,2
1381,40,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Pós-Graduação,Casado,1,0,2,1,1,2,3,1
1279,38,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,5,2,2,3,2,2
1709,28,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,3,1,3,3,3,2,3
395,31,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Solteiro,0,0,7,1,1,2,3,1
1950,53,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Pós-Graduação,Solteiro,1,3,10,2,2,2,2,2
1876,56,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Médio,Casado,1,1,9,3,3,3,2,3
1237,39,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Casado,0,1,6,1,1,2,2,1
1612,27,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,1,7,3,3,2,2,3
898,41,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,9,3,3,2,2,3
1323,27,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,1,1,9,3,3,3,2,3
1896,49,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,2,0,3,3,3,2,2,2
307,39,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,1,1,1,2,2,1
1997,60,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Inativo,Aposentadoria,Ensino Superior,Solteiro,,1,10,,,3,2,
49,21,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,3,2,2,3,2,2
1552,43,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,1,3,1,1,2,2,1
784,33,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,1,0,3,3,2,2,3
621,58,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,7,2,2,2,2,2
1437,60,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Aposentadoria,Ensino Médio,Casado,,0,3,,,2,2,
1551,59,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,3,0,3,3,3,2,3
1190,19,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,2,1,5,3,3,2,2,3
1258,27,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Pós-Graduação,Solteiro,0,0,4,1,1,2,2,1
707,22,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,0,4,3,2,2,2,2
1276,32,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,1,3,3,2,2,2
1198,21,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,8,1,1,3,2,1
91,27,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,1,3,3,2,2,3
1974,37,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,1,8,1,1,3,2,1
1037,46,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,3,6,1,1,2,2,1
115,28,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,0,1,3,2,2,2,2
704,41,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,6,3,3,2,2,3
1776,25,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,2,1,8,3,2,2,2,2
391,53,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,0,8,3,3,3,2,2
1499,59,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,0,0,3,3,3,2,2
1330,44,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,2,0,5,3,3,3,2,3
626,60,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Aposentadoria,Ensino Superior,Solteiro,,1,7,,,2,2,
299,32,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,6,3,3,3,2,3
